,MSE,RMSE,MAE,Pearson r,Fac2
0,2656.374754189499,51.54003059942339,12.748221277879416,0.9258389092829733,0.23477201531500175
1,3001.45383081076,54.78552574184864,12.969379794849695,0.9150019071964621,0.20505569091541942
2,2929.827743765427,54.12788323743528,13.654227271961327,0.917961192267466,0.20792725374173338
3,2651.0852681568067,51.4886906820984,13.789727461356716,0.927746501819636,0.20897145840584755
4,2459.4397847749924,49.59273923443826,13.409501117102742,0.9343297460087117,0.21454054994778976
5,2595.5530251500804,50.94657029820634,13.869148831271229,0.930870063491884,0.2304646710755308
6,3209.2818322688017,56.650523671620206,15.115240988190315,0.9137972049835277,0.22150191437521755
7,3973.6029532152465,63.03652078926348,15.665263797736442,0.8901633306358043,0.24469195962408632
8,4493.81404246096,67.03591606341305,16.545922270872598,0.8748576573910293,0.2140184476157327
9,5234.601420984433,72.35054540903222,17.397724891098957,0.8584926332699592,0.2107117995127045
10,5278.510404142082,72.65335783115658,18.333458680580435,0.8609166778044088,0.2210668290985033
11,5290.90477673361,72.73860582066176,18.10455916600488,0.8620211624558047,0.22624434389140272
12,5506.082362178339,74.20298081733873,18.908862583466288,0.856079352886963,0.22781065088757396
13,6133.9310521784555,78.31941682736444,18.23527802829331,0.8384746528543887,0.22794117647058823
14,6999.374381414118,83.66226378370429,22.16092156907469,0.8143407558802459,0.21153846153846154
15,7600.603182621237,87.18143829176734,21.61746300843548,0.7961655007799936,0.22237208492864602
16,7841.099770647729,88.54998458863632,21.092987636759684,0.7903764362485736,0.21501914375217543
17,8020.758819305644,89.55868924512933,23.724933419499795,0.7887428031270395,0.19735468151757746
18,8010.181292800167,89.4996161600717,22.000806934610296,0.7895498924081106,0.2197615732683606
19,8312.969257066969,91.17548605336287,24.31507163752341,0.7829449918765491,0.20253219631047686
20,9074.710264203664,95.2612736856046,25.660626992380998,0.7629500898483699,0.19887747998607727
21,9698.703154036752,98.4819940600146,25.162965701384035,0.7432708870643406,0.20675252349460493
22,10291.321936369524,101.44615289092792,28.118613660895697,0.7258206754699528,0.18673860076575008
23,10466.467559017801,102.30575525852787,25.855596352445097,0.721016922262715,0.20784023668639054
24,10667.182339783187,103.28205236043281,27.476465561105282,0.7187348464910679,0.19530978071702054
25,10746.037557636253,103.66309641157866,26.871316266607582,0.7191435014240268,0.2099721545422903
26,11022.696350458076,104.98902966718988,29.862720605018367,0.7138614912466268,0.18347546119039332
27,11492.396780588304,107.20259689293121,26.574339403306986,0.7001784673143965,0.20770971110337627
28,12161.693289684212,110.2800675085222,30.03871169054587,0.6796822497251453,0.1937869822485207
29,12761.272461146213,112.96580217546465,33.415085692958385,0.6619567134568594,0.16694222067525236
Average,7019.397721592977,81.29915353523889,21.089838076440532,0.8138429072324346,0.21072340178675023
